"id","system","theme","title","principle","rule","trap","takehome","source","check_label","check_url"
"11","renal","Electrolytes, part one","The insulin-glucose hypoglycaemia that happens six hours later","The insulin used to shift potassium has a longer duration of glycaemic effect than the glucose given with it, particularly in renal impairment where insulin clearance is reduced.","After insulin-glucose, check capillary glucose at 30, 60, 90 and 120 minutes, then hourly to 6 hours. If pre-treatment glucose is below 7 mmol/L, UKKA advises 10% glucose at 50 mL/hour for 5 hours after the initial treatment.","Giving the insulin and walking away because the potassium is now normal. This is a recognised cause of avoidable overnight harm and a recurring incident report theme.","Pre-treatment glucose under 7 means the patient needs watching for six hours.","UK Kidney Association hyperkalaemia guideline","UKKA hyperkalaemia guideline","https://guidelines.ukkidney.org/hyperkalaemia/"
"12","renal","Electrolytes, part one","Low magnesium can make hypokalaemia refractory","Magnesium normally inhibits the ROMK channel in the distal nephron. When magnesium is depleted that inhibition is lifted, the kidney wastes potassium continuously, and replacement flows straight into the urine.","In any refractory hypokalaemia, check and replace magnesium. It is common in diuretic use, alcohol dependence, diarrhoea, refeeding, and after prolonged PPI therapy.","Prescribing a fourth bag of potassium and rechecking the level, with no magnesium ever measured.","Hypokalaemia that will not budge means check the magnesium.","Renal physiology and clinical reviews of refractory hypokalaemia","Review of distal potassium handling","https://pmc.ncbi.nlm.nih.gov/articles/PMC3074996/"
"13","renal","Electrolytes and diabetes","Hyponatraemia: treat the brain, not the number","Symptoms come from cerebral oedema caused by acute water shift into brain cells. Severity is set by the neurology and the rate of fall, not by how low the number is. A chronic sodium of 118 may be walking and talking. An acute fall to 125 may be fitting.","Severe neurological symptoms require immediate 3% hypertonic saline—150 mL over 20 minutes in the European guideline—with repeat boluses guided by symptoms and an initial rise of about 5 mmol/L. When safe, obtain serum and urine osmolality and urine sodium before treatment, but do not delay emergency therapy.","Giving a litre of 0.9% saline to an undifferentiated hyponatraemia. In SIADH this can make the sodium fall further, because the kidney excretes the salt and retains the water.","Send the urine before you hang the fluid.","European hyponatraemia clinical practice guideline","European hyponatraemia guideline","https://academic.oup.com/ejendo/article/170/3/G1/6668028"
"14","renal","Electrolytes and diabetes","The correction limit that prevents osmotic demyelination","Brain cells adapt to chronic hyponatraemia by extruding osmolytes. Correct the serum sodium faster than they can reclaim those osmolytes and the cells shrink, causing osmotic demyelination. It is irreversible and it presents days later.","Limit the rise to no more than 10 mmol/L in the first 24 hours and 8 mmol/L in each 24 hours thereafter; use a more conservative limit, commonly 8 mmol/L per 24 hours, in patients at high risk of osmotic demyelination.","Auto-correction after the cause is treated—for example after stopping a thiazide or restoring volume—can exceed the limit without further saline. Monitor frequently during active correction and obtain expert help for desmopressin and electrolyte-free water if overcorrection is developing.","The danger is not just what you infuse, it is what the patient does once you remove the cause.","European hyponatraemia clinical practice guideline","European hyponatraemia guideline","https://academic.oup.com/ejendo/article/170/3/G1/6668028"
"15","renal","Electrolytes and diabetes","In DKA, the long acting insulin stays running","The fixed rate insulin infusion treats the ketosis. The background basal insulin does a separate job, preventing rebound hyperglycaemia and ketosis at the moment the infusion stops. Stopping it creates a gap.","Continue the usual long-acting analogue at the usual dose alongside the FRIII. Add 10% glucose when capillary glucose falls below 14 mmol/L and keep insulin running. Resolution is ketones below 0.6 mmol/L with venous pH above 7.3 and/or bicarbonate above 18 mmol/L.","Stopping the infusion when the glucose normalises. The patient is still ketotic and will relapse within hours.","You stop the drip on the ketones, never on the glucose.","JBDS-IP DKA guideline","JBDS adult DKA pathway","https://abcd.care/sites/default/files/site_uploads/JBDS_Guidelines_Current/JBDS_02_Single_page_pathway_March_2023.pdf"
"16","respiratory","Respiratory failure","88 to 92% is a target range, not a ceiling to defend","In oxygen-sensitive hypercapnic respiratory failure, excess oxygen can worsen carbon dioxide retention mainly through ventilation-perfusion mismatch and the Haldane effect; reduced hypoxic drive is a smaller contributor. The target prevents over-oxygenation, not treatment of dangerous hypoxaemia.","94 to 98% for most acutely unwell patients, 88 to 92% for those at risk of hypercapnic respiratory failure pending blood gases. If a patient at risk is saturating at 80%, give high flow oxygen immediately and check a gas. Do not titrate cautiously upward.","Leaving a patient hypoxic because they are a retainer. And the opposite, leaving 15 litres running on a non-rebreathe for hours after the patient has stabilised.","Correct hypoxia first, then titrate down and check a gas.","BTS oxygen guideline","BTS emergency oxygen guideline","https://www.brit-thoracic.org.uk/clinical-resources/guidelines/emergency-oxygen/"
"17","respiratory","Respiratory failure","Start NIV after initial medical therapy—and do not delay it in severe acidosis","Controlled oxygen and initial COPD treatment can improve reversible acidosis, but persistent hypercapnic acidosis is the evidence-based trigger for NIV and delay can be harmful.","Give controlled oxygen to 88 to 92% and optimal medical therapy. Start NIV when pH remains below 7.35 with PaCO2 above 6.5 kPa after initial treatment—often reassessed at about 30 to 60 minutes. Severe acidosis, for example pH below 7.25, needs urgent senior review and should not wait for a chest radiograph.","Treating one hour as an absolute waiting period, or allowing repeated gases to delay ventilation. Document the escalation plan and ceiling of care when NIV starts.","Treat first, reassess promptly, and start NIV without delay when hypercapnic acidosis persists.","BTS/ICS acute hypercapnic respiratory failure guideline","BTS/ICS acute NIV guideline","https://thorax.bmj.com/content/71/Suppl_2/ii1"
"18","respiratory","Respiratory failure","Five days of prednisolone, and no taper","For most patients, the recommended five-day oral corticosteroid course can be stopped without a taper. Individualise if the patient has prolonged or repeated steroid exposure or another reason for adrenal suppression.","Give prednisolone 30 mg once daily for 5 days in an acute COPD exacerbation. Consider antibiotics rather than prescribing them automatically, taking account of sputum colour, volume or thickness, severity, admission risk and evidence of pneumonia.","The reducing regimen over two weeks, and reflex antibiotics for every exacerbation regardless of sputum character.","Thirty milligrams, five days, stop.","NICE NG115 and NG114","NICE COPD recommendations","https://www.nice.org.uk/guidance/ng115/chapter/Recommendations"
"19","respiratory","PE, pneumothorax, pneumonia","Age adjusted D-dimer, and when not to send one at all","D-dimer rises with age, malignancy, infection, pregnancy and surgery. A fixed threshold becomes progressively less useful the older the patient is, generating scans that were never going to be positive.","In a patient over 50 in whom PE is unlikely, consider an age-adjusted threshold; a commonly validated formula is age multiplied by 10 ng/mL FEU, but confirm the assay units and local pathway. If PE is likely, proceed directly to imaging rather than using D-dimer to rule it out.","Sending a D-dimer on everyone with chest pain before any clinical assessment. A positive result in a low probability patient then obliges a scan you did not need.","Score first, then decide whether the D-dimer means anything.","NICE NG158","NICE NG158 recommendations","https://www.nice.org.uk/guidance/ng158/chapter/Recommendations"
"20","respiratory","PE, pneumothorax, pneumonia","Not every PE needs admission","Early PE risk is driven mainly by haemodynamic status, clinical risk and right-ventricular dysfunction, not simply by the visual size of clot on CT.","Use a validated tool such as PESI, sPESI or Hestia to identify patients who may be suitable for outpatient treatment, together with clinical judgement, reliable follow-up and safety-netting. Raised troponin or RV dilatation warrants senior risk review and will usually preclude a simple outpatient pathway.","Calling a PE high risk from clot burden alone. Current risk categories are haemodynamic and clinical; obstruction on the scan must be interpreted with the patient's physiology.","The patient's haemodynamics and right heart matter more than how dramatic the clot looks.","NICE NG158 and ESC acute PE guidance","NICE outpatient PE recommendations","https://www.nice.org.uk/guidance/ng158/chapter/Recommendations#outpatient-treatment-for-low-risk-pe"
"21","respiratory","PE, pneumothorax, pneumonia","Pneumothorax management moved away from the ruler","Size on a chest film is a poor guide to how a patient will do. Symptoms and high risk characteristics predict outcome far better than a measurement in centimetres.","BTS 2023 restructured the pathway around whether the patient is symptomatic and whether high risk characteristics are present, with a much greater role for conservative management and ambulatory devices in stable primary spontaneous pneumothorax. Tension pneumothorax remains a clinical diagnosis needing immediate decompression, never a radiological one.","Reflexively inserting a chest drain in a minimally symptomatic young patient because the rim measured over 2 cm.","Ask how the patient is doing before you measure the film.","BTS pleural disease guideline 2023","BTS pleural disease guideline","https://www.brit-thoracic.org.uk/clinical-resources/guidelines/pleural-disease/"
"22","infection","Sepsis and infection","Lactate is a stress marker, not just a perfusion marker","Lactate rises in shock, but it also rises from beta-2 adrenergic stimulation driving glycolysis, from reduced hepatic clearance, and from any high catecholamine state. The mechanism is not always hypoperfusion.","Consider the alternatives before assuming sepsis: salbutamol nebulisers, seizures, severe agitation, liver failure, metformin accumulation, thiamine deficiency. A falling lactate after resuscitation is genuinely useful. A single value in isolation is much less so.","Anchoring on a raised lactate and giving repeated fluid boluses to a patient whose lactate is high for a non-perfusion reason. And the opposite trap, a normal lactate does not exclude sepsis.","Trend the lactate, do not treat the single number.","Surviving Sepsis Campaign 2021","Surviving Sepsis Campaign guideline","https://pmc.ncbi.nlm.nih.gov/articles/PMC8486643/"
"23","infection","Sepsis and infection","Neutropenic sepsis: do not wait for the count","In a neutropenic patient the usual signs of infection are absent because there are no neutrophils to generate them. There may be no localising signs, no pus and minimal inflammatory response, right up until decompensation.","Suspect neutropenic sepsis in a patient receiving, or recently receiving, anticancer treatment who becomes unwell. Treat it as an acute emergency with immediate empiric broad-spectrum antibiotics; do not wait for the neutrophil count. Follow the local acute-oncology risk window, which is often six weeks, and avoid digital rectal examination.","Waiting for the neutrophil count, or being reassured because the patient looks reasonably well and is apyrexial. Hypothermia counts too.","Antibiotics within the hour, count later.","NICE CG151","NICE neutropenic sepsis recommendations","https://www.nice.org.uk/guidance/cg151/chapter/Recommendations"
"24","infection","Sepsis and infection","The blood cultures are worth the two minutes","Blood cultures can identify the pathogen and support later narrowing of treatment, while antibiotics given first reduce culture yield. Adequate blood volume is a major determinant of sensitivity.","When bloodstream infection is suspected, collect at least two sets—four bottles—with about 8 to 10 mL in each adult bottle before antibiotics if this causes no clinically important delay. Current UK standards allow both sets to be collected during one venepuncture; follow local policy.","Skipping cultures because broad-spectrum treatment has started, or delaying time-critical antibiotics while repeatedly attempting difficult cultures. Obtain them promptly, but treatment urgency comes first.","Two adequately filled sets before antibiotics when feasible; never create a dangerous treatment delay.","UKHSA blood-culture standards and antimicrobial stewardship guidance","UK antimicrobial stewardship guidance","https://www.gov.uk/government/publications/antimicrobial-stewardship-start-smart-then-focus/start-smart-then-focus-antimicrobial-stewardship-toolkit-for-inpatient-care-settings"
"25","renal","Kidneys and fluids","Stopping the ACE inhibitor is not the whole plan","AKI has three mechanisms and they need different responses. Pre-renal means restore perfusion. Post-renal means relieve obstruction. Intrinsic means find the cause, which is where the drug list and the urine dip actually matter.","Every AKI gets a volume assessment, a medication review, a urine dip, and consideration of imaging. If there is no obvious cause, arrange renal tract ultrasound within 24 hours. Blood and protein with no infection should prompt thought about glomerulonephritis or vasculitis, which is a same day discussion.","Stopping the nephrotoxics, prescribing a litre of fluid, and considering the problem addressed. That misses obstruction and misses intrinsic disease.","Every AKI needs a urine dip and a reason.","NICE NG148 and KDIGO","NICE acute kidney injury recommendations","https://www.nice.org.uk/guidance/ng148/chapter/Recommendations"
"26","renal","Kidneys and fluids","Post-obstructive diuresis is a real thing","After relief of chronic obstruction the kidney cannot immediately reconcentrate urine. Retained solute plus impaired tubular function produces a large physiological diuresis, which in a minority becomes pathological and causes hypovolaemia and electrolyte collapse.","After catheterising a patient who drains a large residual volume, monitor hourly urine output and check electrolytes. Replace fluid if output is very high or the patient becomes hypovolaemic, but do not match output millilitre for millilitre by default, because that perpetuates the diuresis.","Catheterising at 2am, documenting the residual volume, and going back to bed with no monitoring plan written.","A big residual volume needs an observation plan, not just a number in the notes.","BAUS teaching and peer-reviewed obstructive uropathy guidance","Review of obstructive uropathy management","https://pmc.ncbi.nlm.nih.gov/articles/PMC9846865/"
"27","renal","Kidneys and fluids","The five Rs, and why maintenance is not resuscitation","Fluid is a drug with a dose, a route and side effects. The commonest prescribing error is using resuscitation rate fluid to correct a maintenance problem, or the reverse.","Every fluid prescription answers one of five questions: resuscitation, routine maintenance, replacement of ongoing losses, redistribution, or reassessment. For resuscitation, NICE advises 500 mL of a crystalloid containing sodium 130 to 154 mmol/L over less than 15 minutes, then reassess. Routine maintenance is roughly 25 to 30 mL/kg/day of water with about 1 mmol/kg/day each of sodium, potassium and chloride.","Continuous 0.9% saline as maintenance. It delivers several times the daily sodium requirement and produces hyperchloraemic acidosis and oedema.","Write which of the five Rs you are prescribing for, on the chart.","NICE CG174","NICE IV fluid recommendations","https://www.nice.org.uk/guidance/cg174/chapter/recommendations"
"28","neurology","Neurology","The thrombectomy window is far longer than the thrombolysis window","Whether tissue is salvageable depends on collateral circulation, not on the clock alone. Perfusion imaging identifies patients with a small infarct core and a large threatened penumbra, who benefit long after the standard window.","Offer thrombolysis within 4.5 hours of known onset when eligible; selected wake-up or unknown-onset strokes may also qualify using advanced imaging. Offer thrombectomy for eligible proximal anterior-circulation occlusion up to 6 hours, and consider it from 6 to 24 hours when imaging shows salvageable tissue.","Standing down a stroke call because the patient woke with symptoms, or because it is nine hours since onset. That decision belongs to the thrombectomy centre with the imaging in front of them.","Late presentation is a reason to call the stroke team, not a reason not to.","NICE NG128","NICE stroke recommendations","https://www.nice.org.uk/guidance/ng128/chapter/Recommendations"
"29","neurology","Neurology","Anticoagulants and most antiplatelets change the head-injury CT threshold","Anticoagulant and antiplatelet treatment can increase the risk of intracranial bleeding after head injury, including when the usual clinical CT indications are absent.","For a patient on anticoagulants or antiplatelet treatment other than aspirin monotherapy, NICE says to consider CT within 8 hours if there is no other indication, or within 1 hour if they present more than 8 hours after injury. One-hour indications include initial GCS 12 or less, GCS below 15 at 2 hours, skull-fracture signs, seizure, focal deficit or more than one vomiting episode.","Treating the additional indication as an automatic-scan rule, forgetting it includes antiplatelets except aspirin alone, or discharging without assessing supervision and giving clear delayed-bleeding safety-net advice.","Anticoagulants or antiplatelets other than aspirin alone should prompt active consideration of CT even without another indication.","NICE NG232","NICE head injury recommendations","https://www.nice.org.uk/guidance/NG232/chapter/recommendations"
"30","neurology","Neurology","4AT takes under two minutes, and confused is not a diagnosis","Delirium is under-recognised because hypoactive delirium is common, easily missed and can look like fatigue or depression. It is associated with increased mortality and length of stay.","The 4AT has four components: alertness, orientation with AMT4, attention tested by reciting the months backwards, and evidence of acute change or fluctuation. A score of 4 or above suggests delirium. Then find the cause: infection, retention, constipation, pain, drugs, withdrawal, metabolic derangement.","Writing confused, for review in the notes. It records the observation without triggering the search for a cause, which is the entire clinical value.","Months of the year backwards is a twenty second screening test you can do at the bedside.","NICE CG103 and the 4AT","Official 4AT clinical guide","https://www.the4at.com/aboutthe4at"
"31","drugs","Toxicology and GI bleeding","The two bag paracetamol regimen","Non-IgE-mediated reactions to acetylcysteine are related in part to the high initial infusion rate in the traditional regimen. In studies, the slower two-bag SNAP regimen reduced adverse reactions without increasing liver injury.","The SNAP regimen gives 100 mg/kg over 2 hours then 200 mg/kg over 10 hours. It is off-label and not universal, so use TOXBASE and the adopted local protocol. If a reaction occurs, manage it according to that protocol and obtain toxicology advice rather than labelling acetylcysteine as a permanent allergy.","Stopping acetylcysteine permanently after a flushing reaction and leaving the patient untreated.","An acetylcysteine reaction means slow the infusion, not stop the treatment.","SNAP clinical studies. This regimen is off-label; follow TOXBASE and local policy","SNAP regimen safety and efficacy study","https://pmc.ncbi.nlm.nih.gov/articles/PMC6610779/"
"32","drugs","Toxicology and GI bleeding","Give thiamine with glucose—but never delay emergency glucose","Thiamine is required for carbohydrate metabolism. Prolonged carbohydrate administration to a severely thiamine-deficient patient may worsen or precipitate Wernicke's encephalopathy, but evidence does not support withholding urgent glucose.","Treat hypoglycaemia immediately. In patients at risk through alcohol dependence, malnutrition or prolonged vomiting, give parenteral thiamine before, alongside or promptly after glucose without delaying glucose delivery. Do not wait for the classic triad of confusion, ataxia and eye signs.","Delaying glucose in a hypoglycaemic patient while sourcing thiamine, or waiting for the full Wernicke triad before treating thiamine deficiency.","Emergency glucose comes first; give thiamine promptly as well when deficiency is plausible.","NICE CG100 and evidence review of glucose-before-thiamine","Glucose-before-thiamine evidence review","https://www.sciencedirect.com/science/article/pii/S0736467911008547"
"33","gastro","Toxicology and GI bleeding","A Blatchford score of 0 or 1 may support outpatient care","The Glasgow-Blatchford score is built entirely from pre-endoscopy variables and predicts need for intervention. It is the only widely used bleeding score designed for exactly the decision you are making at 3am.","Calculate Glasgow-Blatchford score at presentation. BSG guidance supports considering outpatient management at a score of 0 or 1 if the wider clinical and social assessment is safe; NICE specifically highlights a score of 0 for early discharge. Patients admitted should undergo endoscopy within 24 hours, or urgently after resuscitation if unstable.","Using the score as an automatic discharge instruction, or transfusing a stable patient to a normal haemoglobin. A restrictive threshold around 70 g/L is usual for most stable patients, but haemodynamic instability and acute coronary disease require individualisation.","Blatchford before endoscopy, Rockall after.","BSG acute upper GI bleeding care bundle and NICE CG141","BSG acute upper GI bleeding care bundle","https://www.bsg.org.uk/clinical-resource/bsge-acute-upper-gi-bleed-care-bundle"
"34","drugs","Peri-arrest and prescribing","Anaphylaxis: the drug is adrenaline and the site is the thigh","The anterolateral thigh has large muscle bulk and high blood flow, giving the fastest reliable peak concentration. Adrenaline is the only drug that reverses the underlying pathology rather than one symptom of it.","Give 500 micrograms of 1 mg/mL adrenaline IM into the anterolateral thigh in an adult and repeat after 5 minutes if there is no improvement. Lie the patient flat with legs raised; a patient with severe breathing difficulty may sit with legs extended, but do not let them stand or walk.","Reaching for chlorphenamine and hydrocortisone first. Both were removed from the RCUK 2021 acute algorithm because neither does anything for airway compromise or shock.","After two IM doses without response, call for expert help and start an IV adrenaline infusion; continue 5-minute IM doses until the infusion is running.","Resuscitation Council UK guideline 2025 and refractory anaphylaxis guidance","RCUK special-circumstances guideline","https://www.resus.org.uk/professional-library/2025-resuscitation-guidelines/special-circumstances-guidelines"
"35","drugs","Peri-arrest and prescribing","A common preventable cause of long QT is on the drug chart","The QT interval reflects ventricular repolarisation, mostly via potassium channels. Many common drugs block those channels and the effect is additive when you stack them. Hypokalaemia, hypomagnesaemia and bradycardia all amplify it.","QTc above 500 ms, or an increase of more than 60 ms from baseline, is high risk. Review QT-prolonging medicines and interactions, correct hypokalaemia and hypomagnesaemia into the normal or high-normal range as locally advised, and obtain senior advice if risk persists.","Prescribing ondansetron and clarithromycin together to a hypokalaemic patient already on citalopram, and never looking at an ECG. This is one of the more preventable causes of in-hospital torsades.","Before adding a QT prolonging drug, look at the potassium and at what is already on the chart.","MHRA drug safety updates and peer-reviewed QT guidance","Review of drug-induced QT prolongation","https://pmc.ncbi.nlm.nih.gov/articles/PMC4860751/"
"36","drugs","Peri-arrest and prescribing","Digoxin toxicity happens at normal levels","Serum digoxin concentration does not reliably correlate with toxicity, especially in chronic exposure. Renal impairment, hypokalaemia and hypomagnesaemia increase susceptibility, so toxicity can occur within the quoted therapeutic range.","Diagnose from the clinical picture, ECG, renal function, electrolytes and a correctly timed level—at least 6 hours after the last dose. Digoxin-specific antibody fragments are indicated for life-threatening toxicity; discuss significant suspected toxicity with toxicology early.","Excluding toxicity because the level came back in range, and taking the level too soon after a dose, when it is uninterpretable before six hours.","Low potassium makes a normal digoxin level dangerous.","TOXBASE and expert consensus guidance","Digoxin-toxicity consensus guidance","https://pmc.ncbi.nlm.nih.gov/articles/PMC10599802/"
"37","gastro","Gastroenterology and hepatology","Every admission with ascites gets a diagnostic tap","In cirrhosis the ascitic fluid is a culture medium and the gut wall is leaky, so infection arises with no perforation and no surgical source. It frequently presents without abdominal pain or fever, sometimes as nothing more than a rising creatinine or new confusion.","Perform diagnostic paracentesis without delay in every hospital admission with cirrhotic ascites, ideally before antibiotics. An ascitic neutrophil count above 250 cells/mm³ establishes spontaneous bacterial peritonitis. Treat with antibiotics; BSG/BASL recommends albumin when creatinine is increased or rising.","Not tapping because the patient looks well or because coagulation tests are abnormal. Routine prothrombin-time or platelet measurement and prophylactic blood products are not recommended before paracentesis.","Two hundred and fifty neutrophils is the number, and the culture does not have to be positive.","BSG/BASL ascites guideline","BSG/BASL ascites guideline","https://gut.bmj.com/content/70/1/9"
